"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2015M01","European Union (28 countries)","European Union (28 countries)","Total","Total","Asylum applicant","Person","35"
"2015M01","European Union (28 countries)","European Union (28 countries)","Total","Total","First time applicant","Person","30"
"2015M01","European Union (28 countries)","Afghanistan","Total","Total","Asylum applicant","Person","4 920"
"2015M01","European Union (28 countries)","Afghanistan","Total","Total","First time applicant","Person","4 680"
"2015M01","European Union (28 countries)","Iraq","Total","Total","Asylum applicant","Person","2 665"
"2015M01","European Union (28 countries)","Iraq","Total","Total","First time applicant","Person","2 315"
"2015M01","European Union (28 countries)","Syria","Total","Total","Asylum applicant","Person","12 300"
"2015M01","European Union (28 countries)","Syria","Total","Total","First time applicant","Person","11 745"
"2015M01","Belgium","European Union (28 countries)","Total","Total","Asylum applicant","Person","5"
"2015M01","Belgium","European Union (28 countries)","Total","Total","First time applicant","Person","5"
"2015M01","Belgium","Afghanistan","Total","Total","Asylum applicant","Person","200"
"2015M01","Belgium","Afghanistan","Total","Total","First time applicant","Person","150"
"2015M01","Belgium","Iraq","Total","Total","Asylum applicant","Person","140"
"2015M01","Belgium","Iraq","Total","Total","First time applicant","Person","115"
"2015M01","Belgium","Syria","Total","Total","Asylum applicant","Person","275"
"2015M01","Belgium","Syria","Total","Total","First time applicant","Person","265"
"2015M01","Bulgaria","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Bulgaria","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Bulgaria","Afghanistan","Total","Total","Asylum applicant","Person","275"
"2015M01","Bulgaria","Afghanistan","Total","Total","First time applicant","Person","275"
"2015M01","Bulgaria","Iraq","Total","Total","Asylum applicant","Person","100"
"2015M01","Bulgaria","Iraq","Total","Total","First time applicant","Person","100"
"2015M01","Bulgaria","Syria","Total","Total","Asylum applicant","Person","595"
"2015M01","Bulgaria","Syria","Total","Total","First time applicant","Person","590"
"2015M01","Czech Republic","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Czech Republic","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Czech Republic","Afghanistan","Total","Total","Asylum applicant","Person","0"
"2015M01","Czech Republic","Afghanistan","Total","Total","First time applicant","Person","0"
"2015M01","Czech Republic","Iraq","Total","Total","Asylum applicant","Person","0"
"2015M01","Czech Republic","Iraq","Total","Total","First time applicant","Person","0"
"2015M01","Czech Republic","Syria","Total","Total","Asylum applicant","Person","5"
"2015M01","Czech Republic","Syria","Total","Total","First time applicant","Person","5"
"2015M01","Denmark","European Union (28 countries)","Total","Total","Asylum applicant","Person","0"
"2015M01","Denmark","European Union (28 countries)","Total","Total","First time applicant","Person","0"
"2015M01","Denmark","Afghanistan","Total","Total","Asylum applicant","Person","25"
"2015M01","Denmark","Afghanistan","Total","Total","First time applicant","Person","25"
"2015M01","Denmark","Iraq","Total","Total","Asylum applicant","Person","10"
"2015M01","Denmark","Iraq","Total","Total","First time applicant","Person","10"
"2015M01","Denmark","Syria","Total","Total","Asylum applicant","Person","315"
"2015M01","Denmark","Syria","Total","Total","First time applicant","Person","315"
"2015M01","Germany (until 1990 former territory of the FRG)","European Union (28 countries)","Total","Total","Asylum applicant","Person","10"
"2015M01","Germany (until 1990 former territory of the FRG)","European Union (28 countries)","Total","Total","First time applicant","Person","5"
"2015M01","Germany (until 1990 former territory of the FRG)","Afghanistan","Total","Total","Asylum applicant","Person","1 305"
"2015M01","Germany (until 1990 former territory of the FRG)","Afghanistan","Total","Total","First time applicant","Person","1 250"
