"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2015M01","European Union (28 countries)","Total","Total","Less than 14 years","Asylum applicant","Person","13 400"
"2015M01","European Union (28 countries)","Total","Total","Less than 14 years","First time applicant","Person","12 135"
"2015M01","European Union (28 countries)","Total","Total","From 14 to 17 years","Asylum applicant","Person","4 770"
"2015M01","European Union (28 countries)","Total","Total","From 14 to 17 years","First time applicant","Person","4 455"
"2015M01","European Union (28 countries)","Total","Total","From 18 to 34 years","Asylum applicant","Person","35 565"
"2015M01","European Union (28 countries)","Total","Total","From 18 to 34 years","First time applicant","Person","32 730"
"2015M01","European Union (28 countries)","Total","Total","From 35 to 64 years","Asylum applicant","Person","13 640"
"2015M01","European Union (28 countries)","Total","Total","From 35 to 64 years","First time applicant","Person","11 605"
"2015M01","European Union (28 countries)","Total","Total","65 years or over","Asylum applicant","Person","530"
"2015M01","European Union (28 countries)","Total","Total","65 years or over","First time applicant","Person","475"
"2015M01","Belgium","Total","Total","Less than 14 years","Asylum applicant","Person","370"
"2015M01","Belgium","Total","Total","Less than 14 years","First time applicant","Person","255"
"2015M01","Belgium","Total","Total","From 14 to 17 years","Asylum applicant","Person","140"
"2015M01","Belgium","Total","Total","From 14 to 17 years","First time applicant","Person","115"
"2015M01","Belgium","Total","Total","From 18 to 34 years","Asylum applicant","Person","830"
"2015M01","Belgium","Total","Total","From 18 to 34 years","First time applicant","Person","600"
"2015M01","Belgium","Total","Total","From 35 to 64 years","Asylum applicant","Person","370"
"2015M01","Belgium","Total","Total","From 35 to 64 years","First time applicant","Person","235"
"2015M01","Belgium","Total","Total","65 years or over","Asylum applicant","Person","10"
"2015M01","Belgium","Total","Total","65 years or over","First time applicant","Person","5"
"2015M01","Bulgaria","Total","Total","Less than 14 years","Asylum applicant","Person","220"
"2015M01","Bulgaria","Total","Total","Less than 14 years","First time applicant","Person","220"
"2015M01","Bulgaria","Total","Total","From 14 to 17 years","Asylum applicant","Person","85"
"2015M01","Bulgaria","Total","Total","From 14 to 17 years","First time applicant","Person","80"
"2015M01","Bulgaria","Total","Total","From 18 to 34 years","Asylum applicant","Person","605"
"2015M01","Bulgaria","Total","Total","From 18 to 34 years","First time applicant","Person","600"
"2015M01","Bulgaria","Total","Total","From 35 to 64 years","Asylum applicant","Person","155"
"2015M01","Bulgaria","Total","Total","From 35 to 64 years","First time applicant","Person","150"
"2015M01","Bulgaria","Total","Total","65 years or over","Asylum applicant","Person","5"
"2015M01","Bulgaria","Total","Total","65 years or over","First time applicant","Person","5"
"2015M01","Czech Republic","Total","Total","Less than 14 years","Asylum applicant","Person","20"
"2015M01","Czech Republic","Total","Total","Less than 14 years","First time applicant","Person","15"
"2015M01","Czech Republic","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M01","Czech Republic","Total","Total","From 14 to 17 years","First time applicant","Person","0"
"2015M01","Czech Republic","Total","Total","From 18 to 34 years","Asylum applicant","Person","60"
"2015M01","Czech Republic","Total","Total","From 18 to 34 years","First time applicant","Person","55"
"2015M01","Czech Republic","Total","Total","From 35 to 64 years","Asylum applicant","Person","45"
"2015M01","Czech Republic","Total","Total","From 35 to 64 years","First time applicant","Person","30"
"2015M01","Czech Republic","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M01","Czech Republic","Total","Total","65 years or over","First time applicant","Person","0"
"2015M01","Denmark","Total","Total","Less than 14 years","Asylum applicant","Person","75"
"2015M01","Denmark","Total","Total","Less than 14 years","First time applicant","Person","75"
"2015M01","Denmark","Total","Total","From 14 to 17 years","Asylum applicant","Person","60"
"2015M01","Denmark","Total","Total","From 14 to 17 years","First time applicant","Person","60"
"2015M01","Denmark","Total","Total","From 18 to 34 years","Asylum applicant","Person","340"
"2015M01","Denmark","Total","Total","From 18 to 34 years","First time applicant","Person","330"
"2015M01","Denmark","Total","Total","From 35 to 64 years","Asylum applicant","Person","155"
"2015M01","Denmark","Total","Total","From 35 to 64 years","First time applicant","Person","155"
"2015M01","Denmark","Total","Total","65 years or over","Asylum applicant","Person","5"
"2015M01","Denmark","Total","Total","65 years or over","First time applicant","Person","5"
"2015M01","Germany (until 1990 former territory of the FRG)","Total","Total","Less than 14 years","Asylum applicant","Person","6 545"
"2015M01","Germany (until 1990 former territory of the FRG)","Total","Total","Less than 14 years","First time applicant","Person","5 635"
"2015M01","Germany (until 1990 former territory of the FRG)","Total","Total","From 14 to 17 years","Asylum applicant","Person","1 840"
"2015M01","Germany (until 1990 former territory of the FRG)","Total","Total","From 14 to 17 years","First time applicant","Person","1 600"
"2015M01","Germany (until 1990 former territory of the FRG)","Total","Total","From 18 to 34 years","Asylum applicant","Person","12 680"
"2015M01","Germany (until 1990 former territory of the FRG)","Total","Total","From 18 to 34 years","First time applicant","Person","11 195"
"2015M01","Germany (until 1990 former territory of the FRG)","Total","Total","From 35 to 64 years","Asylum applicant","Person","5 570"
"2015M01","Germany (until 1990 former territory of the FRG)","Total","Total","From 35 to 64 years","First time applicant","Person","4 270"
"2015M01","Germany (until 1990 former territory of the FRG)","Total","Total","65 years or over","Asylum applicant","Person","250"
"2015M01","Germany (until 1990 former territory of the FRG)","Total","Total","65 years or over","First time applicant","Person","215"
"2015M01","Estonia","Total","Total","Less than 14 years","Asylum applicant","Person","0"
"2015M01","Estonia","Total","Total","Less than 14 years","First time applicant","Person","0"
"2015M01","Estonia","Total","Total","From 14 to 17 years","Asylum applicant","Person","0"
"2015M01","Estonia","Total","Total","From 14 to 17 years","First time applicant","Person","0"
"2015M01","Estonia","Total","Total","From 18 to 34 years","Asylum applicant","Person","0"
"2015M01","Estonia","Total","Total","From 18 to 34 years","First time applicant","Person","0"
"2015M01","Estonia","Total","Total","From 35 to 64 years","Asylum applicant","Person","0"
"2015M01","Estonia","Total","Total","From 35 to 64 years","First time applicant","Person","0"
"2015M01","Estonia","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M01","Estonia","Total","Total","65 years or over","First time applicant","Person","0"
"2015M01","Ireland","Total","Total","Less than 14 years","Asylum applicant","Person","20"
"2015M01","Ireland","Total","Total","Less than 14 years","First time applicant","Person","20"
"2015M01","Ireland","Total","Total","From 14 to 17 years","Asylum applicant","Person","5"
"2015M01","Ireland","Total","Total","From 14 to 17 years","First time applicant","Person","5"
"2015M01","Ireland","Total","Total","From 18 to 34 years","Asylum applicant","Person","150"
"2015M01","Ireland","Total","Total","From 18 to 34 years","First time applicant","Person","150"
"2015M01","Ireland","Total","Total","From 35 to 64 years","Asylum applicant","Person","35"
"2015M01","Ireland","Total","Total","From 35 to 64 years","First time applicant","Person","35"
"2015M01","Ireland","Total","Total","65 years or over","Asylum applicant","Person","0"
"2015M01","Ireland","Total","Total","65 years or over","First time applicant","Person","0"
"2015M01","Greece","Total","Total","Less than 14 years","Asylum applicant","Person","90"
"2015M01","Greece","Total","Total","Less than 14 years","First time applicant","Person","90"
"2015M01","Greece","Total","Total","From 14 to 17 years","Asylum applicant","Person","60"
"2015M01","Greece","Total","Total","From 14 to 17 years","First time applicant","Person","60"
"2015M01","Greece","Total","Total","From 18 to 34 years","Asylum applicant","Person","695"
"2015M01","Greece","Total","Total","From 18 to 34 years","First time applicant","Person","600"
"2015M01","Greece","Total","Total","From 35 to 64 years","Asylum applicant","Person","210"
"2015M01","Greece","Total","Total","From 35 to 64 years","First time applicant","Person","165"
"2015M01","Greece","Total","Total","65 years or over","Asylum applicant","Person","5"
"2015M01","Greece","Total","Total","65 years or over","First time applicant","Person","5"
"2015M01","Spain","Total","Total","Less than 14 years","Asylum applicant","Person","175"
"2015M01","Spain","Total","Total","Less than 14 years","First time applicant","Person","175"
"2015M01","Spain","Total","Total","From 14 to 17 years","Asylum applicant","Person","30"
"2015M01","Spain","Total","Total","From 14 to 17 years","First time applicant","Person","30"
"2015M01","Spain","Total","Total","From 18 to 34 years","Asylum applicant","Person","435"
"2015M01","Spain","Total","Total","From 18 to 34 years","First time applicant","Person","430"
"2015M01","Spain","Total","Total","From 35 to 64 years","Asylum applicant","Person","200"
"2015M01","Spain","Total","Total","From 35 to 64 years","First time applicant","Person","195"
"2015M01","Spain","Total","Total","65 years or over","Asylum applicant","Person","5"
"2015M01","Spain","Total","Total","65 years or over","First time applicant","Person","5"
"2015M01","France","Total","Total","Less than 14 years","Asylum applicant","Person","705"
"2015M01","France","Total","Total","Less than 14 years","First time applicant","Person","705"
"2015M01","France","Total","Total","From 14 to 17 years","Asylum applicant","Person","120"
"2015M01","France","Total","Total","From 14 to 17 years","First time applicant","Person","120"
"2015M01","France","Total","Total","From 18 to 34 years","Asylum applicant","Person","2 190"
"2015M01","France","Total","Total","From 18 to 34 years","First time applicant","Person","1 965"
"2015M01","France","Total","Total","From 35 to 64 years","Asylum applicant","Person","1 365"
"2015M01","France","Total","Total","From 35 to 64 years","First time applicant","Person","1 180"
"2015M01","France","Total","Total","65 years or over","Asylum applicant","Person","60"
"2015M01","France","Total","Total","65 years or over","First time applicant","Person","55"
"2015M01","Croatia","Total","Total","Less than 14 years","Asylum applicant","Person","0"
