Series Name,Series Code,Country Name,Country Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Refugee population by country or territory of asylum,SM.POP.REFG,Afghanistan,AFG,38,60025,32132,19131,19605,18775,5,..,..,..,6,3,22,30,32,35,42,37,37,6434,3009,16187,16863,280267,..
Refugee population by country or territory of asylum,SM.POP.REFG,Albania,ALB,..,3000,3000,3000,4720,4925,30,22332,3930,523,292,17,26,51,56,56,77,65,70,76,82,86,93,104,..
Refugee population by country or territory of asylum,SM.POP.REFG,Russian Federation,RUS,..,..,..,..,..,246691,237720,128574,80060,26265,17970,14969,9899,1852,1523,1425,1655,3479,4880,4922,3914,3178,3458,235750,..
Refugee population by country or territory of asylum,SM.POP.REFG,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98997,97995,96739,86351,73608,70707,66370,57083,43751,..
Refugee population by country or territory of asylum,SM.POP.REFG,Syrian Arab Republic,SYR,296256,309672,353392,366283,373530,375150,383906,391009,384856,390989,399599,408519,417508,437341,458137,1144572,1955236,1567595,1526575,1501442,1242391,975695,517255,528616,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Iran, Islamic Rep.",IRN,4404995,4150723,2495038,2236350,2071988,2030359,1982553,1931332,1835688,1868000,1868000,1306599,984896,1045976,974302,968370,963546,980109,1070488,1073366,886468,868242,857354,982027,..
Refugee population by country or territory of asylum,SM.POP.REFG,Iraq,IRQ,87990,115000,109066,119581,116722,112957,104032,104022,128913,127787,128142,134190,46721,46053,50177,44406,42354,39503,35218,34655,35189,98822,246298,271143,..
Refugee population by country or territory of asylum,SM.POP.REFG,Eritrea,ERI,..,..,3,706,1083,2106,2606,2501,2972,1984,2272,3619,3889,4240,4418,4621,5042,4862,4751,4809,4719,3600,3166,2898,..
Refugee population by country or territory of asylum,SM.POP.REFG,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,40000,40000,65645,38152,32745,28022,22517,22215,10568,10318,7367,7257,7132,7016,6933,6903,6926,6890,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 11/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
