"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value","Flag and Footnotes"
"2015M01","Belgium","Albania","Males","Total","Asylum applicant","Person","40",""
"2015M01","Belgium","Albania","Females","Total","Asylum applicant","Person","30",""
"2015M01","Belgium","Serbia","Males","Total","Asylum applicant","Person","20",""
"2015M01","Belgium","Serbia","Females","Total","Asylum applicant","Person","15",""
"2015M01","Belgium","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Total","Asylum applicant","Person","75",""
"2015M01","Belgium","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Total","Asylum applicant","Person","30",""
"2015M01","Belgium","Russia","Males","Total","Asylum applicant","Person","45",""
"2015M01","Belgium","Russia","Females","Total","Asylum applicant","Person","35",""
"2015M01","Belgium","Extra EU-28","Males","Total","Asylum applicant","Person","1,150",""
"2015M01","Belgium","Extra EU-28","Females","Total","Asylum applicant","Person","565",""
"2015M01","Belgium","Eritrea","Males","Total","Asylum applicant","Person","5",""
"2015M01","Belgium","Eritrea","Females","Total","Asylum applicant","Person","10",""
"2015M01","Belgium","Afghanistan","Males","Total","Asylum applicant","Person","175",""
"2015M01","Belgium","Afghanistan","Females","Total","Asylum applicant","Person","25",""
"2015M01","Belgium","Pakistan","Males","Total","Asylum applicant","Person","30",""
"2015M01","Belgium","Pakistan","Females","Total","Asylum applicant","Person","5",""
"2015M01","Belgium","Iraq","Males","Total","Asylum applicant","Person","110",""
"2015M01","Belgium","Iraq","Females","Total","Asylum applicant","Person","30",""
"2015M01","Belgium","Syria","Males","Total","Asylum applicant","Person","165",""
"2015M01","Belgium","Syria","Females","Total","Asylum applicant","Person","105",""
"2015M01","Germany (until 1990 former territory of the FRG)","Albania","Males","Total","Asylum applicant","Person","950",""
"2015M01","Germany (until 1990 former territory of the FRG)","Albania","Females","Total","Asylum applicant","Person","695",""
"2015M01","Germany (until 1990 former territory of the FRG)","Serbia","Males","Total","Asylum applicant","Person","1,750",""
"2015M01","Germany (until 1990 former territory of the FRG)","Serbia","Females","Total","Asylum applicant","Person","1,575",""
"2015M01","Germany (until 1990 former territory of the FRG)","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Total","Asylum applicant","Person","2,385",""
"2015M01","Germany (until 1990 former territory of the FRG)","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Total","Asylum applicant","Person","1,245",""
"2015M01","Germany (until 1990 former territory of the FRG)","Russia","Males","Total","Asylum applicant","Person","235",""
"2015M01","Germany (until 1990 former territory of the FRG)","Russia","Females","Total","Asylum applicant","Person","235",""
"2015M01","Germany (until 1990 former territory of the FRG)","Extra EU-28","Males","Total","Asylum applicant","Person","16,820",""
"2015M01","Germany (until 1990 former territory of the FRG)","Extra EU-28","Females","Total","Asylum applicant","Person","8,190",""
"2015M01","Germany (until 1990 former territory of the FRG)","Eritrea","Males","Total","Asylum applicant","Person","510",""
"2015M01","Germany (until 1990 former territory of the FRG)","Eritrea","Females","Total","Asylum applicant","Person","115",""
"2015M01","Germany (until 1990 former territory of the FRG)","Afghanistan","Males","Total","Asylum applicant","Person","815",""
"2015M01","Germany (until 1990 former territory of the FRG)","Afghanistan","Females","Total","Asylum applicant","Person","345",""
"2015M01","Germany (until 1990 former territory of the FRG)","Pakistan","Males","Total","Asylum applicant","Person","370",""
"2015M01","Germany (until 1990 former territory of the FRG)","Pakistan","Females","Total","Asylum applicant","Person","65",""
"2015M01","Germany (until 1990 former territory of the FRG)","Iraq","Males","Total","Asylum applicant","Person","710",""
"2015M01","Germany (until 1990 former territory of the FRG)","Iraq","Females","Total","Asylum applicant","Person","355",""
"2015M01","Germany (until 1990 former territory of the FRG)","Syria","Males","Total","Asylum applicant","Person","4,310",""
"2015M01","Germany (until 1990 former territory of the FRG)","Syria","Females","Total","Asylum applicant","Person","1,215",""
"2015M01","France","Albania","Males","Total","Asylum applicant","Person","110",""
"2015M01","France","Albania","Females","Total","Asylum applicant","Person","80",""
"2015M01","France","Serbia","Males","Total","Asylum applicant","Person","20",""
"2015M01","France","Serbia","Females","Total","Asylum applicant","Person","25",""
"2015M01","France","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Total","Asylum applicant","Person","255",""
"2015M01","France","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Total","Asylum applicant","Person","155",""
"2015M01","France","Russia","Males","Total","Asylum applicant","Person","135",""
"2015M01","France","Russia","Females","Total","Asylum applicant","Person","135",""
"2015M01","France","Extra EU-28","Males","Total","Asylum applicant","Person","2,765",""
"2015M01","France","Extra EU-28","Females","Total","Asylum applicant","Person","1,670",""
"2015M01","France","Eritrea","Males","Total","Asylum applicant","Person","50",""
"2015M01","France","Eritrea","Females","Total","Asylum applicant","Person","25",""
"2015M01","France","Afghanistan","Males","Total","Asylum applicant","Person","30",""
"2015M01","France","Afghanistan","Females","Total","Asylum applicant","Person","10",""
"2015M01","France","Pakistan","Males","Total","Asylum applicant","Person","115",""
"2015M01","France","Pakistan","Females","Total","Asylum applicant","Person","10",""
"2015M01","France","Iraq","Males","Total","Asylum applicant","Person","55",""
"2015M01","France","Iraq","Females","Total","Asylum applicant","Person","35",""
"2015M01","France","Syria","Males","Total","Asylum applicant","Person","85",""
"2015M01","France","Syria","Females","Total","Asylum applicant","Person","80",""
"2015M01","Italy","Albania","Males","Total","Asylum applicant","Person","15",""
"2015M01","Italy","Albania","Females","Total","Asylum applicant","Person","10",""
"2015M01","Italy","Serbia","Males","Total","Asylum applicant","Person","10",""
"2015M01","Italy","Serbia","Females","Total","Asylum applicant","Person","0",""
"2015M01","Italy","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Total","Asylum applicant","Person","10",""
"2015M01","Italy","Kosovo (under United Nations Security Council Resolution 1244/99)","Females","Total","Asylum applicant","Person","5",""
"2015M01","Italy","Russia","Males","Total","Asylum applicant","Person","0",""
"2015M01","Italy","Russia","Females","Total","Asylum applicant","Person","0",""
"2015M01","Italy","Extra EU-28","Males","Total","Asylum applicant","Person","4,370",""
"2015M01","Italy","Extra EU-28","Females","Total","Asylum applicant","Person","415",""
"2015M01","Italy","Eritrea","Males","Total","Asylum applicant","Person","30",""
"2015M01","Italy","Eritrea","Females","Total","Asylum applicant","Person","5",""
"2015M01","Italy","Afghanistan","Males","Total","Asylum applicant","Person","290",""
"2015M01","Italy","Afghanistan","Females","Total","Asylum applicant","Person","0",""
"2015M01","Italy","Pakistan","Males","Total","Asylum applicant","Person","425",""
"2015M01","Italy","Pakistan","Females","Total","Asylum applicant","Person","10",""
"2015M01","Italy","Iraq","Males","Total","Asylum applicant","Person","40",""
"2015M01","Italy","Iraq","Females","Total","Asylum applicant","Person","5",""
"2015M01","Italy","Syria","Males","Total","Asylum applicant","Person","20",""
"2015M01","Italy","Syria","Females","Total","Asylum applicant","Person","10",""
"2015M01","Hungary","Albania","Males","Total","Asylum applicant","Person","25",""
"2015M01","Hungary","Albania","Females","Total","Asylum applicant","Person","5",""
"2015M01","Hungary","Serbia","Males","Total","Asylum applicant","Person","5",""
"2015M01","Hungary","Serbia","Females","Total","Asylum applicant","Person","0",""
"2015M01","Hungary","Kosovo (under United Nations Security Council Resolution 1244/99)","Males","Total","Asylum applicant","Person","6,420",""
