"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value","Flag and Footnotes"
"2014Q1","Belgium","Albania","Total","Total","Total","Person","135",""
"2014Q1","Belgium","Albania","Total","Total","Total positive decisions","Person","20",""
"2014Q1","Belgium","Albania","Total","Total","Rejected","Person","115",""
"2014Q1","Belgium","Serbia","Total","Total","Total","Person","75",""
"2014Q1","Belgium","Serbia","Total","Total","Total positive decisions","Person","5",""
"2014Q1","Belgium","Serbia","Total","Total","Rejected","Person","65",""
"2014Q1","Belgium","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","160",""
"2014Q1","Belgium","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","15",""
"2014Q1","Belgium","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","145",""
"2014Q1","Belgium","Russia","Total","Total","Total","Person","385",""
"2014Q1","Belgium","Russia","Total","Total","Total positive decisions","Person","90",""
"2014Q1","Belgium","Russia","Total","Total","Rejected","Person","295",""
"2014Q1","Belgium","Extra EU-28","Total","Total","Total","Person","5,085",""
"2014Q1","Belgium","Extra EU-28","Total","Total","Total positive decisions","Person","1,660",""
"2014Q1","Belgium","Extra EU-28","Total","Total","Rejected","Person","3,425",""
"2014Q1","Belgium","Eritrea","Total","Total","Total","Person","30",""
"2014Q1","Belgium","Eritrea","Total","Total","Total positive decisions","Person","20",""
"2014Q1","Belgium","Eritrea","Total","Total","Rejected","Person","10",""
"2014Q1","Belgium","Afghanistan","Total","Total","Total","Person","405",""
"2014Q1","Belgium","Afghanistan","Total","Total","Total positive decisions","Person","250",""
"2014Q1","Belgium","Afghanistan","Total","Total","Rejected","Person","155",""
"2014Q1","Belgium","Pakistan","Total","Total","Total","Person","185",""
"2014Q1","Belgium","Pakistan","Total","Total","Total positive decisions","Person","20",""
"2014Q1","Belgium","Pakistan","Total","Total","Rejected","Person","160",""
"2014Q1","Belgium","Iraq","Total","Total","Total","Person","305",""
"2014Q1","Belgium","Iraq","Total","Total","Total positive decisions","Person","220",""
"2014Q1","Belgium","Iraq","Total","Total","Rejected","Person","85",""
"2014Q1","Belgium","Syria","Total","Total","Total","Person","275",""
"2014Q1","Belgium","Syria","Total","Total","Total positive decisions","Person","265",""
"2014Q1","Belgium","Syria","Total","Total","Rejected","Person","10",""
"2014Q1","Belgium","Total","Total","Total","Total","Person","5,100",""
"2014Q1","Belgium","Total","Total","Total","Total positive decisions","Person","1,660",""
"2014Q1","Belgium","Total","Total","Total","Rejected","Person","3,440",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Albania","Total","Total","Total","Person","610",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Albania","Total","Total","Total positive decisions","Person","20",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Albania","Total","Total","Rejected","Person","590",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Serbia","Total","Total","Total","Person","4,435",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Serbia","Total","Total","Total positive decisions","Person","15",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Serbia","Total","Total","Rejected","Person","4,425",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","715",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","10",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","705",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Russia","Total","Total","Total","Person","490",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Russia","Total","Total","Total positive decisions","Person","105",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Russia","Total","Total","Rejected","Person","385",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Extra EU-28","Total","Total","Total","Person","21,205",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Extra EU-28","Total","Total","Total positive decisions","Person","8,045",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Extra EU-28","Total","Total","Rejected","Person","13,160",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Eritrea","Total","Total","Total","Person","265",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Eritrea","Total","Total","Total positive decisions","Person","240",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Eritrea","Total","Total","Rejected","Person","25",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Afghanistan","Total","Total","Total","Person","1,215",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Afghanistan","Total","Total","Total positive decisions","Person","745",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Afghanistan","Total","Total","Rejected","Person","470",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Pakistan","Total","Total","Total","Person","480",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Pakistan","Total","Total","Total positive decisions","Person","165",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Pakistan","Total","Total","Rejected","Person","320",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Iraq","Total","Total","Total","Person","890",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Iraq","Total","Total","Total positive decisions","Person","660",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Iraq","Total","Total","Rejected","Person","225",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Syria","Total","Total","Total","Person","4,225",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Syria","Total","Total","Total positive decisions","Person","4,150",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Syria","Total","Total","Rejected","Person","80",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","Person","21,250",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","8,045",""
"2014Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","13,205",""
"2014Q1","France","Albania","Total","Total","Total","Person","1,660",""
"2014Q1","France","Albania","Total","Total","Total positive decisions","Person","170",""
"2014Q1","France","Albania","Total","Total","Rejected","Person","1,485",""
"2014Q1","France","Serbia","Total","Total","Total","Person","185",""
"2014Q1","France","Serbia","Total","Total","Total positive decisions","Person","60",""
"2014Q1","France","Serbia","Total","Total","Rejected","Person","125",""
"2014Q1","France","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","1,600",""
"2014Q1","France","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","100",""
"2014Q1","France","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","1,500",""
"2014Q1","France","Russia","Total","Total","Total","Person","1,450",""
"2014Q1","France","Russia","Total","Total","Total positive decisions","Person","360",""
"2014Q1","France","Russia","Total","Total","Rejected","Person","1,090",""
"2014Q1","France","Extra EU-28","Total","Total","Total","Person","16,700",""
"2014Q1","France","Extra EU-28","Total","Total","Total positive decisions","Person","3,380",""
"2014Q1","France","Extra EU-28","Total","Total","Rejected","Person","13,320",""
"2014Q1","France","Eritrea","Total","Total","Total","Person","145",""
"2014Q1","France","Eritrea","Total","Total","Total positive decisions","Person","55",""
"2014Q1","France","Eritrea","Total","Total","Rejected","Person","90",""
"2014Q1","France","Afghanistan","Total","Total","Total","Person","190",""
"2014Q1","France","Afghanistan","Total","Total","Total positive decisions","Person","145",""
"2014Q1","France","Afghanistan","Total","Total","Rejected","Person","45",""
"2014Q1","France","Pakistan","Total","Total","Total","Person","500",""
"2014Q1","France","Pakistan","Total","Total","Total positive decisions","Person","25",""
"2014Q1","France","Pakistan","Total","Total","Rejected","Person","475",""
"2014Q1","France","Iraq","Total","Total","Total","Person","30",""
"2014Q1","France","Iraq","Total","Total","Total positive decisions","Person","20",""
"2014Q1","France","Iraq","Total","Total","Rejected","Person","10",""
"2014Q1","France","Syria","Total","Total","Total","Person","350",""
"2014Q1","France","Syria","Total","Total","Total positive decisions","Person","345",""
"2014Q1","France","Syria","Total","Total","Rejected","Person","10",""
"2014Q1","France","Total","Total","Total","Total","Person","16,700",""
"2014Q1","France","Total","Total","Total","Total positive decisions","Person","3,380",""
"2014Q1","France","Total","Total","Total","Rejected","Person","13,320",""
"2014Q1","Italy","Albania","Total","Total","Total","Person","35",""
"2014Q1","Italy","Albania","Total","Total","Total positive decisions","Person","20",""
"2014Q1","Italy","Albania","Total","Total","Rejected","Person","15",""
"2014Q1","Italy","Serbia","Total","Total","Total","Person","40",""
"2014Q1","Italy","Serbia","Total","Total","Total positive decisions","Person","15",""
"2014Q1","Italy","Serbia","Total","Total","Rejected","Person","25",""
"2014Q1","Italy","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","45",""
"2014Q1","Italy","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","25",""
"2014Q1","Italy","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","20",""
"2014Q1","Italy","Russia","Total","Total","Total","Person","10",""
"2014Q1","Italy","Russia","Total","Total","Total positive decisions","Person","10",""
"2014Q1","Italy","Russia","Total","Total","Rejected","Person","0",""
"2014Q1","Italy","Extra EU-28","Total","Total","Total","Person","7,380",""
"2014Q1","Italy","Extra EU-28","Total","Total","Total positive decisions","Person","4,670",""
"2014Q1","Italy","Extra EU-28","Total","Total","Rejected","Person","2,710",""
"2014Q1","Italy","Eritrea","Total","Total","Total","Person","370",""
"2014Q1","Italy","Eritrea","Total","Total","Total positive decisions","Person","335",""
"2014Q1","Italy","Eritrea","Total","Total","Rejected","Person","40",""
"2014Q1","Italy","Afghanistan","Total","Total","Total","Person","575",""
"2014Q1","Italy","Afghanistan","Total","Total","Total positive decisions","Person","550",""
"2014Q1","Italy","Afghanistan","Total","Total","Rejected","Person","25",""
"2014Q1","Italy","Pakistan","Total","Total","Total","Person","1,095",""
"2014Q1","Italy","Pakistan","Total","Total","Total positive decisions","Person","535",""
"2014Q1","Italy","Pakistan","Total","Total","Rejected","Person","560",""
"2014Q1","Italy","Iraq","Total","Total","Total","Person","170",""
"2014Q1","Italy","Iraq","Total","Total","Total positive decisions","Person","150",""
"2014Q1","Italy","Iraq","Total","Total","Rejected","Person","20",""
"2014Q1","Italy","Syria","Total","Total","Total","Person","95",""
"2014Q1","Italy","Syria","Total","Total","Total positive decisions","Person","70",""
"2014Q1","Italy","Syria","Total","Total","Rejected","Person","25",""
"2014Q1","Italy","Total","Total","Total","Total","Person","7,380",""
"2014Q1","Italy","Total","Total","Total","Total positive decisions","Person","4,670",""
"2014Q1","Italy","Total","Total","Total","Rejected","Person","2,710",""
"2014Q1","Hungary","Albania","Total","Total","Total","Person","0",""
"2014Q1","Hungary","Albania","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Hungary","Albania","Total","Total","Rejected","Person","0",""
"2014Q1","Hungary","Serbia","Total","Total","Total","Person","10",""
"2014Q1","Hungary","Serbia","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Hungary","Serbia","Total","Total","Rejected","Person","10",""
"2014Q1","Hungary","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total","Person","75",""
"2014Q1","Hungary","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Hungary","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Rejected","Person","75",""
"2014Q1","Hungary","Russia","Total","Total","Total","Person","0",""
"2014Q1","Hungary","Russia","Total","Total","Total positive decisions","Person","0",""
"2014Q1","Hungary","Russia","Total","Total","Rejected","Person","0",""
"2014Q1","Hungary","Extra EU-28","Total","Total","Total","Person","655",""
"2014Q1","Hungary","Extra EU-28","Total","Total","Total positive decisions","Person","95",""
"2014Q1","Hungary","Extra EU-28","Total","Total","Rejected","Person","560",""
"2014Q1","Hungary","Eritrea","Total","Total","Total","Person","10",""
